al;mssensivel.oxalico;mlsensivel.oxalico;mstolerante.oxalico;mltolerante.oxalico
Al-0;10.72315431;13.60256449;11.57420109;10.97777649
Al-0;10.62693849;13.70001949;11.59369209;10.73680276
Al-0;10.77201175;13.64005218;11.76813654;10.85108499
Al-0;10.58665709;13.74549849;11.39878209;10.95295795
Al-0;10.77571979;13.58307349;11.44426109;10.75804795
Al-0;10.74258509;13.66753449;11.70414109;10.81002395
Al-5;4.46193519;5.79966749;6.18818809;3.89650603
Al-5;4.3341392;6.05402504;6.25185869;3.93223953
Al-5;4.55029439;5.70318704;6.16252494;3.90904524
Al-5;4.59993147;5.93610449;6.30513409;4.05314395
Al-5;4.46583339;5.86463749;6.26615209;3.92320395
Al-5;4.53989919;5.91661349;6.19533479;3.87122795
Al-10;8.56316644;9.46430034;11.46771526;4.73877711
Al-10;8.57934397;9.51374251;11.51247959;4.63800864
Al-10;8.59402719;9.43798749;11.50988079;4.58544791
Al-10;8.72786539;9.41849649;11.36694679;4.52092795
Al-10;8.60702119;9.50217785;11.49688679;4.84577795
Al-10;8.70447619;9.45747849;11.39293479;4.65086795
Al-30;15.30581801;9.44175575;10.94464179;13.59685188
Al-30;16.01165209;9.70891239;10.95958489;13.850202395
Al-30;16.51932767;10.10587909;11.08757579;13.7642146
Al-30;15.75177209;9.54310895;11.00311479;13.74666795
Al-30;16.40147209;9.80298895;11.03559979;13.42181795
Al-30;15.62183209;9.65355795;11.07458179;13.61672795

